date,value,park_name,facility,variable
2022-06-14,1640,Glen Oaks,golf,revenue
2022-06-14,32,Springfield Oaks,golf,rounds played
2022-06-14,41,Glen Oaks,golf,rounds played
2022-06-14,1036,Red Oaks,waterpark,revenue
2022-06-14,852,Waterford Oaks,waterpark,revenue
2022-06-14,259,Red Oaks,waterpark,visitors
2022-06-14,213,Waterford Oaks,waterpark,visitors
2022-06-15,7,Groveland Oaks,campground,campers
2022-06-15,8,Addison Oaks,campground,campers
2022-06-15,91,Groveland Oaks,campground,revenue
2022-06-15,80,Addison Oaks,campground,revenue
2022-06-15,880,Springfield Oaks,golf,revenue
2022-06-15,700,Glen Oaks,golf,revenue
2022-06-15,22,Springfield Oaks,golf,rounds played
2022-06-15,20,Glen Oaks,golf,rounds played
2022-06-15,1016,Red Oaks,waterpark,revenue
2022-06-15,520,Waterford Oaks,waterpark,revenue
2022-06-15,254,Red Oaks,waterpark,visitors
2022-06-15,130,Waterford Oaks,waterpark,visitors
2022-06-16,10,Groveland Oaks,campground,campers
2022-06-16,8,Addison Oaks,campground,campers
2022-06-16,120,Groveland Oaks,campground,revenue
2022-06-16,96,Addison Oaks,campground,revenue
2022-06-16,792,Springfield Oaks,golf,revenue
2022-06-16,1092,Glen Oaks,golf,revenue
2022-06-16,22,Springfield Oaks,golf,rounds played
2022-06-16,28,Glen Oaks,golf,rounds played
2022-06-16,1015,Red Oaks,waterpark,revenue
2022-06-16,896,Waterford Oaks,waterpark,revenue
2022-06-16,203,Red Oaks,waterpark,visitors
2022-06-16,224,Waterford Oaks,waterpark,visitors
2022-06-17,5,Groveland Oaks,campground,campers
2022-06-17,9,Addison Oaks,campground,campers
2022-06-17,50,Groveland Oaks,campground,revenue
2022-06-17,90,Addison Oaks,campground,revenue
2022-06-17,782,Springfield Oaks,golf,revenue
2022-06-17,918,Glen Oaks,golf,revenue
2022-06-17,23,Springfield Oaks,golf,rounds played
2022-06-17,27,Glen Oaks,golf,rounds played
2022-06-17,1230,Red Oaks,waterpark,revenue
2022-06-17,776,Waterford Oaks,waterpark,revenue
2022-06-17,246,Red Oaks,waterpark,visitors
2022-06-17,194,Waterford Oaks,waterpark,visitors
2022-06-18,9,Groveland Oaks,campground,campers
2022-06-18,15,Addison Oaks,campground,campers
2022-06-18,108,Groveland Oaks,campground,revenue
2022-06-18,135,Addison Oaks,campground,revenue
2022-06-18,1332,Springfield Oaks,golf,revenue
2022-06-18,782,Glen Oaks,golf,revenue
2022-06-18,37,Springfield Oaks,golf,rounds played
2022-06-18,23,Glen Oaks,golf,rounds played
2022-06-18,1135,Red Oaks,waterpark,revenue
2022-06-18,318,Waterford Oaks,waterpark,revenue
2022-06-18,227,Red Oaks,waterpark,visitors
2022-06-18,106,Waterford Oaks,waterpark,visitors
2022-06-19,13,Groveland Oaks,campground,campers
2022-06-19,6,Addison Oaks,campground,campers
2022-06-19,143,Groveland Oaks,campground,revenue
2022-06-19,66,Addison Oaks,campground,revenue
2022-06-19,840,Springfield Oaks,golf,revenue
2022-06-19,1085,Glen Oaks,golf,revenue
2022-06-19,28,Springfield Oaks,golf,rounds played
2022-06-19,35,Glen Oaks,golf,rounds played
2022-06-19,438,Red Oaks,waterpark,revenue
2022-06-19,488,Waterford Oaks,waterpark,revenue
2022-06-19,146,Red Oaks,waterpark,visitors
2022-06-19,122,Waterford Oaks,waterpark,visitors
2022-06-20,15,Groveland Oaks,campground,campers
2022-06-20,12,Addison Oaks,campground,campers
2022-06-20,180,Groveland Oaks,campground,revenue
2022-06-20,96,Addison Oaks,campground,revenue
2022-06-20,836,Springfield Oaks,golf,revenue
2022-06-20,900,Glen Oaks,golf,revenue
2022-06-20,22,Springfield Oaks,golf,rounds played
2022-06-20,25,Glen Oaks,golf,rounds played
2022-06-20,1090,Red Oaks,waterpark,revenue
2022-06-20,525,Waterford Oaks,waterpark,revenue
2022-06-20,218,Red Oaks,waterpark,visitors
2022-06-20,105,Waterford Oaks,waterpark,visitors
2022-06-21,12,Groveland Oaks,campground,campers
2022-06-21,9,Addison Oaks,campground,campers
2022-06-21,156,Groveland Oaks,campground,revenue
2022-06-21,99,Addison Oaks,campground,revenue
2022-06-21,1156,Springfield Oaks,golf,revenue
2022-06-21,1240,Glen Oaks,golf,revenue
2022-06-21,34,Springfield Oaks,golf,rounds played
2022-06-21,31,Glen Oaks,golf,rounds played
2022-06-21,357,Red Oaks,waterpark,revenue
2022-06-21,532,Waterford Oaks,waterpark,revenue
2022-06-21,119,Red Oaks,waterpark,visitors
2022-06-21,133,Waterford Oaks,waterpark,visitors
2022-06-22,17,Groveland Oaks,campground,campers
2022-06-22,19,Addison Oaks,campground,campers
2022-06-22,238,Groveland Oaks,campground,revenue
2022-06-22,228,Addison Oaks,campground,revenue
2022-06-22,1254,Springfield Oaks,golf,revenue
2022-06-22,1617,Glen Oaks,golf,revenue
2022-06-22,33,Springfield Oaks,golf,rounds played
2022-06-22,49,Glen Oaks,golf,rounds played
2022-06-22,1252,Red Oaks,waterpark,revenue
2022-06-22,819,Waterford Oaks,waterpark,revenue
2022-06-22,313,Red Oaks,waterpark,visitors
2022-06-22,273,Waterford Oaks,waterpark,visitors
2022-06-23,15,Groveland Oaks,campground,campers
2022-06-23,16,Addison Oaks,campground,campers
2022-06-23,195,Groveland Oaks,campground,revenue
2022-06-23,128,Addison Oaks,campground,revenue
2022-06-23,1020,Springfield Oaks,golf,revenue
2022-06-23,1368,Glen Oaks,golf,revenue
2022-06-23,34,Springfield Oaks,golf,rounds played
2022-06-23,38,Glen Oaks,golf,rounds played
2022-06-23,1324,Red Oaks,waterpark,revenue
2022-06-23,1455,Waterford Oaks,waterpark,revenue
2022-06-23,331,Red Oaks,waterpark,visitors
2022-06-23,291,Waterford Oaks,waterpark,visitors
2022-06-24,19,Groveland Oaks,campground,campers
2022-06-24,13,Addison Oaks,campground,campers
2022-06-24,285,Groveland Oaks,campground,revenue
2022-06-24,143,Addison Oaks,campground,revenue
2022-06-24,1209,Springfield Oaks,golf,revenue
2022-06-24,1692,Glen Oaks,golf,revenue
2022-06-24,39,Springfield Oaks,golf,rounds played
2022-06-24,47,Glen Oaks,golf,rounds played
2022-06-24,1715,Red Oaks,waterpark,revenue
2022-06-24,1135,Waterford Oaks,waterpark,revenue
2022-06-24,343,Red Oaks,waterpark,visitors
2022-06-24,227,Waterford Oaks,waterpark,visitors
2022-06-25,11,Groveland Oaks,campground,campers
2022-06-25,17,Addison Oaks,campground,campers
2022-06-25,165,Groveland Oaks,campground,revenue
2022-06-25,204,Addison Oaks,campground,revenue
2022-06-25,1530,Springfield Oaks,golf,revenue
2022-06-25,1088,Glen Oaks,golf,revenue
2022-06-25,45,Springfield Oaks,golf,rounds played
2022-06-25,32,Glen Oaks,golf,rounds played
2022-06-25,1055,Red Oaks,waterpark,revenue
2022-06-25,1170,Waterford Oaks,waterpark,revenue
2022-06-25,211,Red Oaks,waterpark,visitors
2022-06-25,234,Waterford Oaks,waterpark,visitors
2022-06-26,15,Groveland Oaks,campground,campers
2022-06-26,11,Addison Oaks,campground,campers
2022-06-26,150,Groveland Oaks,campground,revenue
2022-06-26,121,Addison Oaks,campground,revenue
2022-06-26,630,Springfield Oaks,golf,revenue
2022-06-26,1330,Glen Oaks,golf,revenue
2022-06-26,21,Springfield Oaks,golf,rounds played
2022-06-26,35,Glen Oaks,golf,rounds played
2022-06-26,965,Red Oaks,waterpark,revenue
2022-06-26,448,Waterford Oaks,waterpark,revenue
2022-06-26,193,Red Oaks,waterpark,visitors
2022-06-26,112,Waterford Oaks,waterpark,visitors
2022-06-27,10,Groveland Oaks,campground,campers
2022-06-27,6,Addison Oaks,campground,campers
2022-06-27,100,Groveland Oaks,campground,revenue
2022-06-27,54,Addison Oaks,campground,revenue
2022-06-27,880,Springfield Oaks,golf,revenue
2022-06-27,975,Glen Oaks,golf,revenue
2022-06-27,22,Springfield Oaks,golf,rounds played
2022-06-27,25,Glen Oaks,golf,rounds played
2022-06-27,378,Red Oaks,waterpark,revenue
2022-06-27,985,Waterford Oaks,waterpark,revenue
2022-06-27,126,Red Oaks,waterpark,visitors
2022-06-27,197,Waterford Oaks,waterpark,visitors
2022-06-28,5,Groveland Oaks,campground,campers
2022-06-28,6,Addison Oaks,campground,campers
2022-06-28,75,Groveland Oaks,campground,revenue
2022-06-28,72,Addison Oaks,campground,revenue
2022-06-28,1320,Springfield Oaks,golf,revenue
2022-06-28,768,Glen Oaks,golf,revenue
2022-06-28,33,Springfield Oaks,golf,rounds played
2022-06-28,24,Glen Oaks,golf,rounds played
2022-06-28,696,Red Oaks,waterpark,revenue
2022-06-28,900,Waterford Oaks,waterpark,revenue
2022-06-28,174,Red Oaks,waterpark,visitors
2022-06-28,180,Waterford Oaks,waterpark,visitors
2022-06-29,14,Groveland Oaks,campground,campers
2022-06-29,9,Addison Oaks,campground,campers
2022-06-29,182,Groveland Oaks,campground,revenue
2022-06-29,108,Addison Oaks,campground,revenue
2022-06-29,780,Springfield Oaks,golf,revenue
2022-06-29,1184,Glen Oaks,golf,revenue
2022-06-29,26,Springfield Oaks,golf,rounds played
2022-06-29,32,Glen Oaks,golf,rounds played
2022-06-29,840,Red Oaks,waterpark,revenue
2022-06-29,1188,Waterford Oaks,waterpark,revenue
2022-06-29,280,Red Oaks,waterpark,visitors
2022-06-29,297,Waterford Oaks,waterpark,visitors
2022-06-30,12,Groveland Oaks,campground,campers
2022-06-30,13,Addison Oaks,campground,campers
2022-06-30,144,Groveland Oaks,campground,revenue
2022-06-30,117,Addison Oaks,campground,revenue
2022-06-30,1088,Springfield Oaks,golf,revenue
2022-06-30,1209,Glen Oaks,golf,revenue
2022-06-30,32,Springfield Oaks,golf,rounds played
2022-06-30,31,Glen Oaks,golf,rounds played
2022-06-30,642,Red Oaks,waterpark,revenue
2022-06-30,915,Waterford Oaks,waterpark,revenue
2022-06-30,214,Red Oaks,waterpark,visitors
2022-06-30,183,Waterford Oaks,waterpark,visitors
2022-07-01,11,Groveland Oaks,campground,campers
2022-07-01,13,Addison Oaks,campground,campers
2022-07-01,121,Groveland Oaks,campground,revenue
2022-07-01,117,Addison Oaks,campground,revenue
2022-07-01,1225,Springfield Oaks,golf,revenue
2022-07-01,1147,Glen Oaks,golf,revenue
2022-07-01,35,Springfield Oaks,golf,rounds played
2022-07-01,31,Glen Oaks,golf,rounds played
2022-07-01,555,Red Oaks,waterpark,revenue
2022-07-01,612,Waterford Oaks,waterpark,revenue
2022-07-01,111,Red Oaks,waterpark,visitors
2022-07-01,204,Waterford Oaks,waterpark,visitors
2022-07-02,9,Groveland Oaks,campground,campers
2022-07-02,14,Addison Oaks,campground,campers
2022-07-02,108,Groveland Oaks,campground,revenue
2022-07-02,112,Addison Oaks,campground,revenue
2022-07-02,1184,Springfield Oaks,golf,revenue
2022-07-02,756,Glen Oaks,golf,revenue
2022-07-02,37,Springfield Oaks,golf,rounds played
2022-07-02,21,Glen Oaks,golf,rounds played
2022-07-02,765,Red Oaks,waterpark,revenue
2022-07-02,1240,Waterford Oaks,waterpark,revenue
2022-07-02,153,Red Oaks,waterpark,visitors
2022-07-02,248,Waterford Oaks,waterpark,visitors
2022-07-03,10,Groveland Oaks,campground,campers
2022-07-03,7,Addison Oaks,campground,campers
2022-07-03,150,Groveland Oaks,campground,revenue
2022-07-03,56,Addison Oaks,campground,revenue
2022-07-03,875,Springfield Oaks,golf,revenue
2022-07-03,1122,Glen Oaks,golf,revenue
2022-07-03,25,Springfield Oaks,golf,rounds played
2022-07-03,34,Glen Oaks,golf,rounds played
2022-07-03,1245,Red Oaks,waterpark,revenue
2022-07-03,815,Waterford Oaks,waterpark,revenue
2022-07-03,249,Red Oaks,waterpark,visitors
2022-07-03,163,Waterford Oaks,waterpark,visitors
2022-07-04,18,Groveland Oaks,campground,campers
2022-07-04,19,Addison Oaks,campground,campers
2022-07-04,180,Groveland Oaks,campground,revenue
2022-07-04,209,Addison Oaks,campground,revenue
2022-07-04,1394,Springfield Oaks,golf,revenue
2022-07-04,1480,Glen Oaks,golf,revenue
2022-07-04,41,Springfield Oaks,golf,rounds played
2022-07-04,37,Glen Oaks,golf,rounds played
2022-07-04,1220,Red Oaks,waterpark,revenue
2022-07-04,732,Waterford Oaks,waterpark,revenue
2022-07-04,244,Red Oaks,waterpark,visitors
2022-07-04,244,Waterford Oaks,waterpark,visitors
2022-07-05,5,Groveland Oaks,campground,campers
2022-07-05,12,Addison Oaks,campground,campers
2022-07-05,65,Groveland Oaks,campground,revenue
2022-07-05,108,Addison Oaks,campground,revenue
2022-07-05,780,Springfield Oaks,golf,revenue
2022-07-05,1080,Glen Oaks,golf,revenue
2022-07-05,20,Springfield Oaks,golf,rounds played
2022-07-05,30,Glen Oaks,golf,rounds played
2022-07-05,618,Red Oaks,waterpark,revenue
2022-07-05,1125,Waterford Oaks,waterpark,revenue
2022-07-05,206,Red Oaks,waterpark,visitors
2022-07-05,225,Waterford Oaks,waterpark,visitors
2022-07-06,18,Groveland Oaks,campground,campers
2022-07-06,14,Addison Oaks,campground,campers
2022-07-06,216,Groveland Oaks,campground,revenue
2022-07-06,126,Addison Oaks,campground,revenue
2022-07-06,1739,Springfield Oaks,golf,revenue
2022-07-06,1258,Glen Oaks,golf,revenue
2022-07-06,47,Springfield Oaks,golf,rounds played
2022-07-06,37,Glen Oaks,golf,rounds played
2022-07-06,1950,Red Oaks,waterpark,revenue
2022-07-06,720,Waterford Oaks,waterpark,revenue
2022-07-06,390,Red Oaks,waterpark,visitors
2022-07-06,240,Waterford Oaks,waterpark,visitors
2022-07-07,10,Groveland Oaks,campground,campers
2022-07-07,11,Addison Oaks,campground,campers
2022-07-07,130,Groveland Oaks,campground,revenue
2022-07-07,132,Addison Oaks,campground,revenue
2022-07-07,1155,Springfield Oaks,golf,revenue
2022-07-07,1360,Glen Oaks,golf,revenue
2022-07-07,35,Springfield Oaks,golf,rounds played
2022-07-07,40,Glen Oaks,golf,rounds played
2022-07-07,516,Red Oaks,waterpark,revenue
2022-07-07,564,Waterford Oaks,waterpark,revenue
2022-07-07,129,Red Oaks,waterpark,visitors
2022-07-07,141,Waterford Oaks,waterpark,visitors
2022-07-08,13,Groveland Oaks,campground,campers
2022-07-08,19,Addison Oaks,campground,campers
2022-07-08,143,Groveland Oaks,campground,revenue
2022-07-08,209,Addison Oaks,campground,revenue
2022-07-08,1800,Springfield Oaks,golf,revenue
2022-07-08,1440,Glen Oaks,golf,revenue
2022-07-08,45,Springfield Oaks,golf,rounds played
2022-07-08,36,Glen Oaks,golf,rounds played
2022-07-08,993,Red Oaks,waterpark,revenue
2022-07-08,1080,Waterford Oaks,waterpark,revenue
2022-07-08,331,Red Oaks,waterpark,visitors
2022-07-08,360,Waterford Oaks,waterpark,visitors
2022-07-09,7,Groveland Oaks,campground,campers
2022-07-09,12,Addison Oaks,campground,campers
2022-07-09,70,Groveland Oaks,campground,revenue
2022-07-09,132,Addison Oaks,campground,revenue
2022-07-09,1050,Springfield Oaks,golf,revenue
2022-07-09,630,Glen Oaks,golf,revenue
2022-07-09,30,Springfield Oaks,golf,rounds played
2022-07-09,21,Glen Oaks,golf,rounds played
2022-07-09,585,Red Oaks,waterpark,revenue
2022-07-09,905,Waterford Oaks,waterpark,revenue
2022-07-09,195,Red Oaks,waterpark,visitors
2022-07-09,181,Waterford Oaks,waterpark,visitors
2022-07-10,11,Groveland Oaks,campground,campers
2022-07-10,7,Addison Oaks,campground,campers
2022-07-10,143,Groveland Oaks,campground,revenue
2022-07-10,70,Addison Oaks,campground,revenue
2022-07-10,1080,Springfield Oaks,golf,revenue
2022-07-10,850,Glen Oaks,golf,revenue
2022-07-10,27,Springfield Oaks,golf,rounds played
2022-07-10,25,Glen Oaks,golf,rounds played
2022-07-10,543,Red Oaks,waterpark,revenue
2022-07-10,664,Waterford Oaks,waterpark,revenue
2022-07-10,181,Red Oaks,waterpark,visitors
2022-07-10,166,Waterford Oaks,waterpark,visitors
2022-07-11,13,Groveland Oaks,campground,campers
2022-07-11,6,Addison Oaks,campground,campers
2022-07-11,169,Groveland Oaks,campground,revenue
2022-07-11,60,Addison Oaks,campground,revenue
2022-07-11,1368,Springfield Oaks,golf,revenue
2022-07-11,1209,Glen Oaks,golf,revenue
2022-07-11,36,Springfield Oaks,golf,rounds played
2022-07-11,31,Glen Oaks,golf,rounds played
2022-07-11,1250,Red Oaks,waterpark,revenue
2022-07-11,880,Waterford Oaks,waterpark,revenue
2022-07-11,250,Red Oaks,waterpark,visitors
2022-07-11,176,Waterford Oaks,waterpark,visitors
2022-07-12,13,Groveland Oaks,campground,campers
2022-07-12,10,Addison Oaks,campground,campers
2022-07-12,182,Groveland Oaks,campground,revenue
2022-07-12,120,Addison Oaks,campground,revenue
2022-07-12,930,Springfield Oaks,golf,revenue
2022-07-12,1368,Glen Oaks,golf,revenue
2022-07-12,30,Springfield Oaks,golf,rounds played
2022-07-12,38,Glen Oaks,golf,rounds played
2022-07-12,939,Red Oaks,waterpark,revenue
2022-07-12,920,Waterford Oaks,waterpark,revenue
2022-07-12,313,Red Oaks,waterpark,visitors
2022-07-12,230,Waterford Oaks,waterpark,visitors
2022-07-13,5,Groveland Oaks,campground,campers
2022-07-13,10,Addison Oaks,campground,campers
2022-07-13,75,Groveland Oaks,campground,revenue
2022-07-13,80,Addison Oaks,campground,revenue
2022-07-13,1116,Springfield Oaks,golf,revenue
2022-07-13,1225,Glen Oaks,golf,revenue
2022-07-13,31,Springfield Oaks,golf,rounds played
2022-07-13,35,Glen Oaks,golf,rounds played
2022-07-13,1025,Red Oaks,waterpark,revenue
2022-07-13,843,Waterford Oaks,waterpark,revenue
2022-07-13,205,Red Oaks,waterpark,visitors
2022-07-13,281,Waterford Oaks,waterpark,visitors
2022-07-14,14,Groveland Oaks,campground,campers
2022-07-14,14,Addison Oaks,campground,campers
2022-07-14,154,Groveland Oaks,campground,revenue
2022-07-14,168,Addison Oaks,campground,revenue
2022-07-14,1240,Springfield Oaks,golf,revenue
2022-07-14,1330,Glen Oaks,golf,revenue
2022-07-14,31,Springfield Oaks,golf,rounds played
2022-07-14,38,Glen Oaks,golf,rounds played
2022-07-14,1685,Red Oaks,waterpark,revenue
2022-07-14,1820,Waterford Oaks,waterpark,revenue
2022-07-14,337,Red Oaks,waterpark,visitors
2022-07-14,364,Waterford Oaks,waterpark,visitors
2022-07-15,5,Groveland Oaks,campground,campers
2022-07-15,12,Addison Oaks,campground,campers
2022-07-15,70,Groveland Oaks,campground,revenue
2022-07-15,120,Addison Oaks,campground,revenue
2022-07-15,1050,Springfield Oaks,golf,revenue
2022-07-15,651,Glen Oaks,golf,revenue
2022-07-15,30,Springfield Oaks,golf,rounds played
2022-07-15,21,Glen Oaks,golf,rounds played
2022-07-15,876,Red Oaks,waterpark,revenue
2022-07-15,568,Waterford Oaks,waterpark,revenue
2022-07-15,292,Red Oaks,waterpark,visitors
2022-07-15,142,Waterford Oaks,waterpark,visitors
2022-07-16,6,Groveland Oaks,campground,campers
2022-07-16,13,Addison Oaks,campground,campers
2022-07-16,90,Groveland Oaks,campground,revenue
2022-07-16,143,Addison Oaks,campground,revenue
2022-07-16,1254,Springfield Oaks,golf,revenue
2022-07-16,1110,Glen Oaks,golf,revenue
2022-07-16,33,Springfield Oaks,golf,rounds played
2022-07-16,37,Glen Oaks,golf,rounds played
2022-07-16,447,Red Oaks,waterpark,revenue
2022-07-16,861,Waterford Oaks,waterpark,revenue
2022-07-16,149,Red Oaks,waterpark,visitors
2022-07-16,287,Waterford Oaks,waterpark,visitors
2022-07-17,8,Groveland Oaks,campground,campers
2022-07-17,15,Addison Oaks,campground,campers
2022-07-17,112,Groveland Oaks,campground,revenue
